date,Mkt-RF,SMB,HML,RF
26-Jul,2.96,-2.56,-2.43,0.22
26-Aug,2.64,-1.17,3.82,0.25
26-Sep,0.36,-1.4,0.13,0.23
26-Oct,-3.24,-0.09,0.7,0.32
26-Nov,2.53,-0.1,-0.51,0.31
26-Dec,2.62,-0.03,-0.05,0.28
27-Jan,-0.06,-0.37,4.54,0.25
27-Feb,4.18,0.04,2.94,0.26
27-Mar,0.13,-1.65,-2.61,0.3
27-Apr,0.46,0.3,0.81,0.25
27-May,5.44,1.53,4.73,0.3
27-Jun,-2.34,0.59,-1.73,0.26
27-Jul,7.26,-3.25,-1.14,0.3
27-Aug,1.97,-0.69,-3.74,0.28
27-Sep,4.76,-3.63,-0.63,0.21
27-Oct,-4.31,2.12,-4.33,0.25
27-Nov,6.58,2.72,-0.27,0.21
27-Dec,2.09,0.97,-1.13,0.22
28-Jan,-0.68,4.26,-0.75,0.25
28-Feb,-1.7,-2.06,-0.65,0.33
28-Mar,8.81,-0.26,-1.22,0.29
28-Apr,4.23,3.98,3.44,0.22
28-May,1.52,2.85,-3.27,0.32
28-Jun,-4.85,-3.52,-0.03,0.31
28-Jul,0.62,-1.32,-0.5,0.32
28-Aug,6.68,-2.06,-2.15,0.32
28-Sep,2.88,2.41,0.86,0.27
28-Oct,1.33,2.22,-2.16,0.41
28-Nov,11.81,-1.78,2.7,0.38
28-Dec,0.36,-0.86,-0.65,0.06
29-Jan,4.66,-3.56,-1.24,0.34
Feb-29,-0.34,-0.38,1.66,0.36
29-Mar,-0.89,-4.71,1.58,0.34
29-Apr,1.43,-0.97,0.59,0.36
29-May,-6.39,-5.37,-1.42,0.44
29-Jun,9.7,-2.17,-2.79,0.52
29-Jul,4.46,-3.88,2.71,0.33
29-Aug,8.18,-9.59,0.13,0.4
29-Sep,-5.47,1.19,-0.65,0.35
29-Oct,-20.12,-4.01,7.78,0.46
29-Nov,-12.74,-1.72,5.05,0.37
29-Dec,1.33,-4.5,-0.54,0.37
30-Jan,5.61,3.55,-0.96,0.14
Feb-30,2.5,0.19,0.2,0.3
30-Mar,7.1,3.41,0.33,0.35
30-Apr,-2.06,-0.35,-0.35,0.21
30-May,-1.66,-2.01,-0.73,0.26
30-Jun,-16.27,-3.38,2.33,0.27
30-Jul,4.12,-0.28,-1.75,0.2
30-Aug,0.3,-2.1,-0.61,0.09
30-Sep,-12.75,-2.21,-4.96,0.22
30-Oct,-8.78,-0.12,-1.38,0.09
30-Nov,-3.04,2.23,-3.66,0.13
30-Dec,-7.83,-4.6,-5.25,0.14
31-Jan,6.24,3.45,7.12,0.15
Feb-31,10.88,3.59,1.92,0.04
31-Mar,-6.43,2.98,-3.44,0.13
Apr-31,-9.98,-4.45,-3.82,0.08
31-May,-13.24,5.35,-6.57,0.09
Jun-31,13.9,-5.32,11.29,0.08
31-Jul,-6.62,1.42,-2.11,0.06
31-Aug,0.41,-1.95,-1.47,0.03
Sep-31,-29.13,0.54,-6.77,0.03
31-Oct,8.04,-1.87,1.7,0.1
Nov-31,-9.08,4.31,-5.04,0.17
31-Dec,-13.53,-0.55,-8.85,0.12
Jan-32,-1.58,3.93,9.03,0.23
Feb-32,5.46,-2.78,-1.46,0.23
Mar-32,-11.21,2.27,-2.32,0.16
Apr-32,-17.96,1.45,1.43,0.11
May-32,-20.51,3.91,-2.98,0.06
Jun-32,-0.7,0.33,5.3,0.02
Jul-32,33.84,-4.59,35.61,0.03
Aug-32,37.06,13.41,34.24,0.03
Sep-32,-2.94,-2.08,-7.36,0.03
Oct-32,-13.17,-2.56,-10.33,0.02
Nov-32,-5.88,2,-13.11,0.02
Dec-32,4.4,-8.64,-7.72,0.01
Jan-33,1.25,0.63,6.36,0.01
Feb-33,-15.24,-2.58,-2.95,-0.03
Mar-33,3.29,3.79,7.54,0.04
Apr-33,38.85,3.07,19.65,0.1
May-33,21.43,36.56,19.19,0.04
Jun-33,13.11,8.42,-1.78,0.02
Jul-33,-9.63,-1.05,3.27,0.02
Aug-33,12.05,-5.39,3,0.03
Sep-33,-10.65,-0.4,-11.74,0.02
